ID	words	meaning	lx
7749	presumable	a. 可推测的,可能有的,似真的	 The presumable result is an election defeat./r/n     推测结果是竞选可能会失败。/r/n
7750	presumably	ad. 推测上,假定上,大概	 He will presumably resign in view of the complete failure of his policy./r/n     由於他所推行的政策彻底失败了, 他很可能辞职./r/n\n She is aware of the difficulties, presumably?/r/n     她对这些困难大概了解吧?/r/n
7809	printable	可印刷的	 His comment when he heard the news was not printable! ie was too rude to be printed./r/n     他在得知这消息时所发的议论不宜见诸报端（语言粗俗难登大雅之堂）./r/n\n The article is too badly written to be printable./r/n     这篇文章写得很糟糕, 不宜发表./r/n
7832	probabilistic	概率性的	
7833	probability	n. 可能性,或然率,机率	 There is a little probability of his success./r/n     他不大可能成功。/r/n\n The probability of a peace agreement being reached is zero./r/n     达成和平协定的概率是零。/r/n
7834	probability theory	概率论	 French mathematician who formulated modern number theory and probability theory./r/n     费马，皮尔·德1601－1665法国数学家，他有系统地阐述了现代数理论和概率论/r/n
7886	profitable	a. 有益的,有用的	 It is profitable to import food./r/n     进口食品可赚钱。/r/n\n Producing results; profitable./r/n     产生结果的；有益的/r/n
7903	programmable	可编程的	
8181	purchasable	a. 可买到的	 A purchasable senator./r/n     腐化堕落的参议员/r/n\n Steel plate purchasable if so purchase price and delivery time expect?/r/n     能否购得钢板？若可能，约何时发货，价格如何？/r/n
8269	quantifiable	a. 可以计量的	
8302	questionable	a. 可疑的,可置疑的	 Such a questionable assertion is sure to provoke criticism./r/n     这种有问题的主张肯定会招致非议。/r/n\n The man looks questionable./r/n     这个男人看上去很可疑。/r/n
8340	rabbi	n. 犹太的法学博士,法师,先生	 The rabbi makes pastoral visits every Tuesday./r/n     犹太教教士每星期二对教友进行访问。/r/n\n The office or function of a rabbi./r/n     犹太法学博士的身份或职位/r/n
8341	rabble	n. 乌合之众,暴民,下等人	 The rabbles met on the square to oppose their new mayor./r/n     平民们在广场上集会反对他们的新市长。/r/n\n The rabble soon grew violent and unmanageable./r/n     暴民们很快地变得狂暴和无法控制。/r/n
8342	rabid	a. 猛烈的,热烈的,急进的	 A rabid football fan./r/n     狂热的足球迷/r/n
8343	rabies	n. 狂犬病	
8505	readability	可读性	
8506	readable	a. 值得一读的,易读的,读起来津津有味的	 It is the combination of wit and political analysis that makes his articles so readable./r/n     他的生花妙笔与政治分析相得益彰, 使他的文章脍炙人口./r/n\n A readable story./r/n     一个可读性强的故事/r/n
8542	reasonable	a. 合理的,有道理的,适度,通情达理的<br>\nad. 合理地	 My mother was always reasonable./r/n     我母亲一向通情达理。/r/n\n You are fortunate to have such a reasonable father./r/n     你有这样一位通情达理的父亲，真是幸运。/r/n
8543	reasonably	ad. 适度地,相当地	
8574	receivable	a. 可接受的,可信的<br>\nn. 应收帐款	
8610	recommendable	a. 可推荐的	
8632	recoverable	可恢复的	 An artificial, recoverable satellite that is designed to carry and support humans, animals, or other living organisms./r/n     生物卫星设计用于运送和搭载人、动物或其他生物的、人造可返回式卫星/r/n
8680	redoubtable	a. 可怕的	
8772	regrettable	a. 可叹的,可惜的,抱歉的	
8779	rehabilitate	v. 恢复原状,使复权,使恢复<br>\n恢复名誉	 Punishment intended to rehabilitate or improve./r/n     处罚为复原或提高而进行的惩罚/r/n
8780	rehabilitation	n. 复原	 The study, theory, and practice of prison management and criminal rehabilitation./r/n     刑狱学一种对刑罚典狱和监狱管理的研究、实践和理论/r/n
8823	reliability	n. 可靠性	 Performance is less important than reliability in a car./r/n     汽车的可靠性比其机械性能更重要./r/n\n An experiment was made to check up on the reliability of certain criteria./r/n     已经进行了一项实验以检查某些标准的可靠性。/r/n
8847	remarkable	a. 显著的,异常的,非凡的,值得注意的	 The child is remarkable for his cleverness./r/n     这孩子聪明得惊人。/r/n\n He showed remarkable courage when he faced the danger./r/n     他在面对危险的时候表现出非凡的勇气。/r/n
8848	remediable	a. 可纠正的,可治疗的	
8870	removable	a. 可除去的,可解职的,可移动的	
8886	renewable	a. 可更新的(可继续的,可更换的,可展期的)	 Is the permit renewable?/r/n     这个许可证可以延期吗？/r/n\n If I can rephrase what I had just said, I think our resource is not renewable./r/n     如果我可以把我刚说的话重新措辞一下，我变为我们的资源是不能再生的。/r/n
8910	reparable	a. 能补救的,可挽回的	
8918	repeatability	可重复性	
8932	replaceable	可置换的	 A person, unlike a machine, is not replaceable./r/n     人和机器不同，是不可替代的。/r/n\n A replaceable printed circuit board./r/n     一种可替换的印制电路板。/r/n
9040	respectability	n. 社会地位,受尊重	 Lacking respectability, as in character, behavior, or appearance./r/n     邋遢的，不名誉的不体面的，名声不好的，如在品质、行为或外貌上/r/n
9041	respectably	ad. 相当好地	
9123	retractable	a. 可缩回的,伸缩自如的,可取消的	
9138	returnable	a. 可退回的	
9146	reusable	可再用的	
9178	revocable	a. 可废除的	
9180	revokable	可取消的	
9383	roundabout	a. 绕道的<br>\nn. 远路<br>\n环状交叉路口	 We drove home by a roundabout route./r/n     我们绕远道驾车回家。/r/n\n At the roundabout, take the third exit./r/n     在环状交叉路口，从第三条出路驶出。/r/n
9464	Sabbath	n. [宗]安息日	 A Christian should not break the Sabbath./r/n     基督徒应守安息日。/r/n\n That Sabbath day was a high day./r/n     那个安息日是一个宗教节日。/r/n
9465	sabbatical	a. 安息日的	
9466	saber	n. 军刀<br>\nvt. 用马刀砍	 I use a heavy saber in fencing./r/n     我在击剑时用的是把重剑。/r/n
9467	sable	n. 黑貂,黑貂皮,丧服<br>\na. 黑貂皮的,黑的,昏暗的	 She wore her sable stole./r/n     她戴着带有貂皮的披肩/r/n\n Down the sable flood they glided./r/n     他们在黑黝黝的洪水中随波逐流。/r/n
9468	sabotage	n. 怠工,破坏活动,破坏<br>\nv. 从事破坏活动,妨害,破坏	
9469	sabre	n. 军刀,击剑用刀	 I use a heavy sabre in fencing./r/n     我在击剑时用的是把重剑。/r/n
9510	salable	a. 适于销售的,价格适当的,畅销的	
9518	saleable	a. 可供出售的	
9649	Saudi Arabia	n. 沙特阿拉伯	 A unit of currency in Saudi Arabia./r/n     库什沙特阿拉伯的一种货币单位/r/n\n A coin of Saudi Arabia worth!/100 of a riyal./r/n     哈拉拉一种沙特阿拉伯硬币，合！／100里亚尔/r/n
9676	scab	n. 创口中所结的疤,痂	
9677	scabbard	n. (刀、剑)鞘,枪套	 He made a very beautiful scabbard for his knife./r/n     他为他的刀做了一个漂亮的鞘。/r/n\n The scabbard is content to be dull when it protects the keenness of the sword./r/n     刀鞘保护刀的锋利，它自己则满足于它的迟钝。/r/n
9678	scabrous	a. 粗糙的	 Her scabrous novels shocked the public./r/n     她的小说淫秽不堪, 公众十分震惊./r/n
9831	scrutable	a. 通过细看和细查可以理解的	
9850	seaboard	n. 海岸,沿海地带<br>\na. 海边的	
10065	separable	a. 可分离的,可分的	 Search of knowledge and love of study are in separable./r/n     追求知识与爱好学习是不可分割的。/r/n\n One of the small sections of a separable bulb, as that of garlic./r/n     小鳞茎一种可分离鳞茎的一小部分，如大蒜的一瓣/r/n
10120	serviceable	a. 有用的,耐用的	 The tyres are worn but still serviceable./r/n     这些轮胎已磨损, 但尚可用./r/n\n He stated that in six weeks rush work would be required to repair the boilers to make them serviceable./r/n     他说，修理这这些锅炉，使之可以使用，需要六周的紧张工作。/r/n
10163	shabby	a. 破旧的(低劣的)	 You look rather shabby in those clothes./r/n     你穿那种衣服显得很蹩脚。/r/n\n He is a tramp in shabby old clothes./r/n     他是个衣衫褴褛的流浪者。/r/n
10500	sizable	a. 相当大的	
10502	sizeable	a. 相当大的	
10556	slab	n. 平板,厚的切片<br>\nv. 切成厚板,以平板盖上	 The top of the table was formed by a stone slab./r/n     桌面是一块石板。/r/n\n A slab of stone laid flat over a grave./r/n     平放在墓上的纪念碑石/r/n
10757	sociable	a. 好交际的,社交的	 Her sociable manner is really a mask for a very shy nature./r/n     她那好交际的作风，实际上是她腼腆天性的伪装。/r/n\n Shunning the society of others; not sociable./r/n     厌恶社交的避免与别人交往的；不爱社交的/r/n
10758	sociably	ad. 和蔼可亲地,善于应酬地	
10826	solvability	可解性,溶解度	
11132	squabble	vt. 争论(搞乱)<br>\nn. 争论(搞乱)	 I hate to squabble with my wife about money./r/n     我厌恶为钱的事兴太太争吵。/r/n\n No man will squabble over a nickel./r/n     没有人会为了五分钱而吵架。/r/n
11154	stab	v.&n. 刺,戳<br>\nvt. 刺(伤)	 She stabbed him in the leg with a kitchen knife./r/n     她拿菜刀捅伤了他的腿./r/n\n The killer stabbed him with a knife/stabbed a knife into him./r/n     凶手用刀刺他./r/n
11155	stability	n. 稳定性	
11156	stabilization	稳定化	
11157	stabilize	v. 使安定,使坚固	 He can now ride his bike without stabilizers./r/n     他现在骑自行车不需要平衡器了./r/n\n His condition has now stabilized./r/n     他的情况稳定下来了./r/n
11158	stabilizer	稳定剂,稳定器	
11680	suitable	a. 合适的,适宜的	 What time is suitable for us to meet?/r/n     我们什么时候会面合适？/r/n\n She is suitable for the job./r/n     她适合做这项工作。/r/n
11681	suitably	ad. 适当地,相称地	 Components must suitably packed for delivery to site./r/n     部件必须适应包装以便运送到目的地。/r/n
11847	swab	擦净	 Little Tom swabbed up the gravy with crusty bread./r/n     小汤姆用硬面包把肉汁抹得干干净净。/r/n
11922	syllabary	n. 音节表,(日语的)假名表	
11980	TAB	(tabulate)制表	
11981	tabernacle	n. 临时住房,帐篷	 He was forbidden to walk into the tabernacle./r/n     他被禁止走进礼拜堂。/r/n
11982	table	n. 桌子, 餐桌, 工作台, 平地层, 石板, 表格<br>\nadj.<br>\n桌子的, 台子的<br>\nvt.<br>\n搁置, 嵌合, 制表	 The table legs are screwed to the floor./r/n     这张桌子的腿是用螺丝固定在地板上的。/r/n\n He drummed on the table with his fingers./r/n     他用手指咚咚地敲打着桌子。/r/n
11983	table salt	精制食盐	
11984	table tennis	n. 乒乓球	
11985	tableau	n. 画面,活人画(舞台上活人扮的静态画面)	
11986	tablecloth	n. 桌布,台布	 She smoothed out wrinkles out of the tablecloth./r/n     她把桌布上的皱褶弄平。/r/n\n The tablecloth was edged with lace./r/n     台布四周镶有花边。/r/n
11987	tableland	n. 高原(台地,海台)	
11988	tablespoon	n. 汤匙(一汤匙容量)	 Add one level (ie not heaped) tablespoon of sugar./r/n     加一平餐匙糖./r/n
11989	tablespoonful	n. 一满匙	
11990	tablet	n. 药片,匾	 The doctor told him to take two tablets of aspirin before every meal./r/n     医生告诉他每天饭前吃两片阿斯匹林。/r/n\n Fill a glass with water and dissolve this tablet in it./r/n     倒杯水把药片放进去溶解了./r/n
11991	tabletop	n. 桌面	
11992	tabloid	n. 小型报,小型画报,药片<br>\na. 扼要的	 I never read the tabloids./r/n     我从来不看小报。/r/n\n The tabloid papers are full of smut./r/n     这些小报充斥著下流的东西./r/n
11993	tabor	vi.&n. (敲)手鼓	
11994	tabular	a. 制成表的,扁平的	 An annual publication including calendars with weather forecasts, astronomical information, tide tables, and other related tabular information./r/n     年历；历书一种年度出版物，包括含天气预报、天文信息、潮汐图表和其它相关表格信息的日历/r/n
11995	tabulate	v. 作成表,作成一览表,使成平面<br>\na. 平板状的,平面的	 Please tabulate the numbers in order./r/n     请把那些数字按顺序制成表。/r/n
11996	tabulator	制表机,跳格键	
12111	taxicab	n. 出租汽车	 A minicar used as a taxicab, especially in England./r/n     微型出租汽车一种用作出租汽车的微型车，尤指在英国/r/n\n The taxicab swung out into traffic./r/n     那部计程车转向驶入车流之中。/r/n
12118	teachable	a. 可教的	
12212	tenable	a. 站得住脚的,无懈可击的	 The lectureship is tenable for a period of three years./r/n     讲师这一职位任期三年./r/n\n How long is the post tenable for?/r/n     这个职位任期多长？/r/n
12243	terminable	a. 可终止的	
12282	testable	a. 可试验的	
12296	tetrahydrocannabinol	n. [化]四氢大麻醇,四氢大麻酚(大麻树脂的主要成分,麻醉用)	
12518	tolerable	a. 可容忍的,可以的	 The heat was tolerable at night but suffocating during the day./r/n     这种炎热的天气在夜晚尚能忍受，但白天就令人感到呼吸困难。/r/n\n We had a very tolerable lunch./r/n     我们吃了顿很不错的午餐。/r/n
12600	transferable	a. 可转移的	
12754	unable	a. 不能的,不会的<br>\nv. 不能,不会	 I am unable to cycle to school because my bicycle is broken./r/n     我不能骑车上学，因为我的自行车坏了。/r/n\n We are as yet unable to say when the train will arrive./r/n     我们还说不上火车什么时候到达。/r/n
12755	unacceptable	a. 不能接受的	
12757	unaffordable	a. 买不起的	
12764	unavoidable	a. 不可避免的	 The blame is unavoidable./r/n     责备是不可避免的。/r/n\n Something, such as corrective discipline or punishment, that is unpleasant but necessary or unavoidable./r/n     （喻）药某种令人不快的但却必需的或不可避免的东西，例如矫正性惩罚/r/n
12771	uncomfortable	a. 不舒服的,不自在的	 I am very uncomfortable lying on this hard, cold floor./r/n     我躺在又硬又冷的地上很不舒服。/r/n\n Your intent gaze made her uncomfortable./r/n     你的注目凝视使她感到不自在。/r/n
12799	undesirable	a. 不受欢迎的,不良的	 Military intervention is highly undesirable./r/n     军事干涉极不相宜./r/n\n The drug has no undesirable side-effects./r/n     这种药没有什麽不良的副作用./r/n
12810	unfavorable	a. 不宜的,不理想的	 This situation is unfavorable for us./r/n     这样的局面对我们来说是不利的。/r/n\n I got an unfavorable score./r/n     我得到一个不理想的成绩。/r/n
12844	unobtainable	a. 无法得到的	
12847	unpredictable	a. 不可预知的	 He is moody and unpredictable./r/n     他喜怒无常而又捉摸不定。/r/n\n Irregular in course or behavior; unpredictable./r/n     不规律的在过程上或行为上无规律的；不可预测的/r/n
12849	unquestionable	a. 无疑问的,确实的,无可挑剔的	 His honesty is unquestionable./r/n     他很诚实, 这是毫无疑问的./r/n\n An unquestionable antique./r/n     毫无疑问的文物/r/n
12857	unstable	a. 不稳定的	 Liable to capsize; unstable./r/n     易于翻转的；不稳定的/r/n\n If it were gentle, only the more unstable rods fell./r/n     若地震是微弱的，仅那些比较不稳定的杆子倒下。/r/n
12863	unusable	a. 无法使用的	 There are several sectors unusable in this disk./r/n     这张磁盘有几个扇区坏了。/r/n\n The act of obtaining usable substances from unusable sources./r/n     废物利用从无用的东西中获取有用物质的行为/r/n
12871	unworkable	a. 难运转的,不能实行的	 In my submission these proposals are completely unworkable./r/n     在我看来，这些建议完全不可行。/r/n\n Proposition afraid unworkable try submit al terminative/r/n     所提方案恐不可行，请另提其他方案。/r/n
12898	usability	可用性	
12922	valuable	a. 贵重的,有价值的<br>\nn. (pl.)贵重物品	 Thank you for your valuable service./r/n     感谢你多年的宝贵服务。/r/n\n Valuable raw materials were salvaged (from the sunken freighter)./r/n     （从沉船中）打捞起许多贵重的原料./r/n
12934	variable	a. 可变的,易变的<br>\nn. 变量	 His mood is variable./r/n     他的情绪多变。/r/n\n Winds are mainly light and variable./r/n     风力较弱，风向多变。/r/n
12989	viable	a. 能养活的,能生育的<br>\na. markets without arbitrage opportunities are called viable.	
13042	vocabulary	n. 词汇	 He has an extensive vocabulary./r/n     他词汇很丰富。/r/n\n You can look up this word in the vocabulary./r/n     你可以在词汇表里查这个词。/r/n
13068	vulnerability	n. 易受伤,易受责难,弱点<br>\n漏洞（计算机）	
13069	vulnerable	a. 易受伤害的,有弱点的	 The potato is vulnerable to several pests./r/n     马铃薯易受几种害虫的侵害./r/n\n She is very young and vulnerable to temptation/fraud./r/n     她很年轻，易受诱惑／易受骗上当。/r/n
13251	workable	a. 易加工的(可使用的,切实可行的)	 If we put our heads together we can probably thresh out a workable scheme./r/n     如果我们集思广益，也许能琢磨出一个切实可行的方案。/r/n\n Such a scheme is workable./r/n     这样的方案是行得通的。/r/n
