ID	words	meaning	lx
2058	devil	n. 魔鬼,恶魔	 There will be the devil to pay./r/n     后果不堪设想。/r/n\n She found out her husband was a devil soon after her marriage./r/n     结婚后不久她就发现她丈夫是一个邪恶的人。/r/n
2059	devise	v. 设计	 The government devised a scheme for redeveloping the city center./r/n     政府制定了市中心重建计划。/r/n\n He devises a new type of transistor./r/n     他发明了一种新的晶体管。/r/n
2060	devote	v. 投入于,献身	 He devoted himself entirely to music./r/n     他将一生奉献给了音乐。/r/n\n Please devote more time to your work./r/n     请把更多的时间用于工作。/r/n
2061	devotion	n. 献身,忠诚	 He works with greater devotion./r/n     他工作得更专心了。/r/n\n His devotion to music is plain to see./r/n     他对音乐的挚爱是显而易见的。/r/n
2062	devour	v. 吞食	 The child devours fairy tales./r/n     这孩子专注地听着童话故事。/r/n\n He sat by the fire, devouring beef and onions./r/n     他坐在火炉旁，狼吞虎咽地吃着牛肉和洋葱。/r/n
2063	dew	n. 露水	 The grass was wet with dew./r/n     草被露水打湿了。/r/n\n The grass was sprinkled with dew./r/n     草上沾满了露珠./r/n
2064	diabetes	n. 糖尿病	
2065	diacritic	发音符号的,可区别的	
2066	diacritical	可区分的	
2067	diaeresis	分音符	
2068	diagnose	v. 诊断<br>\nvi. 判断,诊断(疾病)<br>\nvt. 诊断(疾病)	 The doctor diagnosed measles./r/n     医生诊断出麻疹./r/n
2069	diagnostic	a. 特征的,诊断的	
2070	diagnostics	诊断学	 A person who diagnoses, especially a physician specializing in medical diagnostics./r/n     诊断医生做出诊断的人，尤指做出医学诊断的医生/r/n\n Diagnostic or distinctive./r/n     诊断的诊断或区别的/r/n
2071	diagonal	a. 对角线的,斜的,斜纹的<br>\nn. 对角线,斜线,斜列	 The wood surface of the furniture is full of diagonal stripes./r/n     这件家具的木头表面上布满了斜纹。/r/n\n A diagonal line or plane./r/n     对角线或对角面/r/n
2072	diagonally	斜(对)地,对角地	
2073	diagram	n. 图解,图表<br>\nv. 用图解法表示	 She gave me a diagram of railway network./r/n     她给了我一张铁路网图解。/r/n\n The diagram had been copied with great precision./r/n     该图表的复印件很精确。/r/n
2074	dial	n. 刻度盘,针面,转盘<br>\nv. 拨<br>\n[计算机] 拨号	 Put in the money before dialing./r/n     拨电话前先把钱放进去。/r/n\n Can you read the number on the dial?/r/n     你能读出刻度盘上的读数吗？/r/n
2075	dialect	n. 方言	 Do you speak Sichuan dialect?/r/n     你会说四川话吗？/r/n\n The dialect is spoken principally in the rural areas./r/n     这种方言主要在农村地区使用。/r/n
2076	dialog	n. 对话,对白	 The writer is not very good at writing dialogs./r/n     这个作家不太擅长写对白。/r/n\n At last there can be a reasonable dialog between our two governments./r/n     我们两国最后终于能理智地进行对话了。/r/n
2077	dialogue	n. 对话	 At last there can be a reasonable dialogue between our two governments./r/n     我们两国最后终于能理智地进行对话了。/r/n\n The novel contains more narrative than dialogue./r/n     这部小说里的叙述比对话多./r/n
2078	dialysis	n. 透析	
2079	diameter	n. 直径	 This lens can magnify 20 diameter./r/n     这个透镜能放大20倍。/r/n\n The diameter of the tree-trunk is about 2 meters./r/n     这树干的直径大约是2米。/r/n
2080	diamond	n. 钻石	 She wears a diamond ring on her left hand./r/n     她左手上戴着一枚钻石戒指。/r/n\n The diamond ring on her finger glittered in the light./r/n     她手指上的钻石戒指在灯光下闪闪发光。/r/n
2081	diaphragm	n. 横隔膜,控光装置	 The diaphragm is between the chest and the abdomen./r/n     横隔膜位于胸腔与腹部之间。/r/n
2082	dictate	v. 听写,口述,口授<br>\nn. 命令,指挥,指令	 He was dictating a letter to his secretary./r/n     他在向秘书口授信稿。/r/n\n I will not be dictated to./r/n     我不愿受人摆布。/r/n
2083	dictation	n. 听写	
2084	dictator	n. 独裁者	 Hitler is a notorious dictator./r/n     希特勒是一个臭名昭著的独裁者。/r/n\n They are the dictator and his minions./r/n     他们就是那个独裁者和他的奴仆。/r/n
2085	dictionary	n. 词典,字典,辞典	 Please pass the dictionary to me./r/n     请把字典递给我。/r/n\n A dictionary is an invaluable aid in learning a new language./r/n     在学习一种新语言时，词典是非常有用的工具。/r/n
2086	diesel	n. 柴油机,内燃机	 The steam locomotives were superseded by diesel units./r/n     蒸汽机车已被柴油内燃机车所取代。/r/n\n Drawing on their practical experience, they designed an air-cooled diesel motor./r/n     他们利用自己的实践经验，设计了一台气冷柴油机。/r/n
2087	diet	n. 日常饮食<br>\nv. 照规定饮食	 Proper diet and exercise are both important for health./r/n     适当的饮食和运动对身体健康都很重要。/r/n\n He is on a diet to reduce some weight./r/n     他正在节食以减轻体重。/r/n
2088	differ	v. 不一致,不同	 We differ about moral standards./r/n     我们对道德标准看法不一致。/r/n\n Although our looks differ, we are both attractive./r/n     尽管我俩相貌不同，但都讨人喜欢。/r/n
2089	differentiate	v. 区别,差别	 Can you differentiate between the two varieties?/r/n     你能辨别这两个品种吗?/r/n\n It is wrong to differentiate between people according to their family background./r/n     根据出身不同而区别待人是不对的./r/n
2090	difficult	a. 困难的	 She is just being difficult./r/n     她正在闹别扭呢。/r/n\n He found it difficult to stop smoking./r/n     他觉得戒烟是件难事。/r/n
2091	difficulty	n. 困难	 He finished the work without any difficulty./r/n     他轻而易举地完成了这项工作。/r/n\n She found great difficulties in understanding him./r/n     她觉得很难理解他。/r/n
2092	diffuse	v. 散播	 The light was diffused by the leaves./r/n     树叶使光线漫射。/r/n\n Fashion trends diffuse themselves rapidly around the globe./r/n     时装新潮很快就在全世界流行起来。/r/n
2093	dig	v. 挖,翻土	 You are just digging your own grave if you go on smoking so heavily./r/n     你继续这样大量吸烟，就是在自掘坟墓。/r/n\n We dug up the rose bushes and planted some cabbages./r/n     我们把玫瑰丛挖出来，然后种了一些卷心菜。/r/n
2094	digestion	n. 消化	 He has a good digestion./r/n     他消化能力很强。/r/n\n The pancreas can produce substances which help in the digestion of food./r/n     胰脏能产生助消化的物质。/r/n
2095	digestive	a. 消化的	 She suffered from digestive trouble./r/n     她患有消化系统疾病。/r/n\n Although he is thin, he has good digestive power./r/n     尽管他很瘦，他的消化能力挺好。/r/n
2096	digit	n. 数字,位数,指头	 In the decimal form of a number, a digit that is not significant./r/n     占位符号在一个数的小数形式中，没有意义的数字/r/n\n The number represented by the digit or digits in2./r/n     在释文2。中所说的由一位或几位数字表示的数。/r/n
2097	digital	a. 数字的	
2098	digitalis	n. 洋地黄,毛地黄	
2099	digitize	vt. 数字化	
2100	dike	n. 堤防	
2101	dilapidated	a. 毁坏的,荒废的,要塌似的	 The house is very dilapidated but it has possibilities./r/n     这房子已破旧不堪, 但还有可利用的价值./r/n
2102	dilate	v. 扩大,详述	 The cat dilated its eyes in the darkness./r/n     猫在黑暗中睁大眼睛。/r/n\n The horse dilated its nostrils./r/n     那匹马张大它的鼻孔。/r/n
2103	dilemma	n. 困境,进退两难	 Faced with that dilemma, he was perplexed./r/n     他面对进退两难的局面，不知如何是好。/r/n\n The bad weather put us in a dilemma./r/n     糟糕的天气使我们进退两难/r/n
2104	diligent	a. 勤奋的,用功的	 Their students are diligent about their studies./r/n     他们的学生勤奋学习。/r/n\n The diligent student gets up before dawn every day./r/n     这个勤奋的学生每天天亮以前就起床了。/r/n
2105	dilute	v. 冲淡,稀释	 An inert substance used to dilute./r/n     稀释剂一种惰性物质/r/n
2106	dim	adj. 暗淡的, 模糊的<br>\nvt. 使暗淡, 使失去光泽<br>\nn. <美俚>笨蛋、傻子	 The light was too dim for me to read easily./r/n     光线太暗，我看书有困难。/r/n\n She is rather dim about the importance of keeping records./r/n     她不明白作记录的重要性。/r/n
2107	dimensional	a. 空间的	 A cube is a three-dimensional object./r/n     立方体是三维物体。/r/n\n A square is two-dimensional and a cube is three-dimensional./r/n     正方形是二维的（平面的）, 而正六面体则是三维的（立体的）./r/n
2108	dimensionality	维数,度数	
2109	diminish	v. 减少,变小	 He likes to diminish the skills of others./r/n     他喜欢贬低别人的技能。/r/n\n As he turned the knob, the sound diminished./r/n     他一转旋钮，声音就变小了。/r/n
2110	dimmed	暗淡的,无效的	 The lamp threw out a dim light./r/n     灯发出暗淡的光。/r/n\n The light of a candle is dimmed by sunlight./r/n     烛光在日光下显得很黯淡。/r/n
2111	din	n. 喧嚣<br>\nv. 絮聒不休地说,暄闹	 They were unable to sleep because of the din coming from the bar./r/n     酒吧里传来的喧闹声吵得他们无法入睡。/r/n\n The shouts of the boys dinned his ear./r/n     孩子们的吵闹声把他的耳朵都快吵聋了。/r/n
2112	dine	v. 用正餐,进餐	 My friend invited me to dine out./r/n     我的朋友邀请我出去吃饭。/r/n\n Every weekend, we dine at a nice little restaurant in the neighbourhood./r/n     每个周末，我们在附近一家别致的小餐馆进餐。/r/n
2113	dingy	a. 昏暗的(微黑的)<br>\nn. 小船	 He lives in a dingy room./r/n     他住在一个肮脏的屋子里。/r/n\n Rooms in cheap hotels are often dingy./r/n     在低级旅馆中全是又黑又脏的房间。/r/n
2114	dint	n. 凹痕<br>\nvt 打出凹痕	 He succeeded by dint of hard work./r/n     他通过辛勤努力才获得成功。/r/n
2115	diode	二极管	 A diode is used as a rectifier./r/n     二极管用作整流器。/r/n\n A device, such as a diode, that converts alternating current to direct current./r/n     整流器；整流管一种将交流电流转化为直流电流的装置，如二极管/r/n
2116	dioxide	n. 二氧化物	 Plants can absorb carbon dioxide and release oxygen./r/n     植物可以吸收二氧化碳释放氧气。/r/n\n Soft drinks contain carbon dioxide./r/n     软饮料中含有二氧化碳。/r/n
2117	dip	蘸;下沉;倾斜;汲出;舀取;翻阅;涉猎	 The land dips gently to the south./r/n     地面缓缓向南倾斜。/r/n\n The sun dipped below the horizon./r/n     太阳落到地平线下。/r/n
2118	diphtheria	n. 白喉	
2119	diphthong	连元音字,双重元音,双元音字	
2120	diploma	n. 文凭	 He obtained a diploma in architecture./r/n     他获得了建筑学的学位证书。/r/n\n The diploma is very important for him to get the job./r/n     对他来说，要得到那份工作，文凭是很重要的。/r/n
2121	diplomat	a. 外交官,外交家<br>\nn. 外交家	 The diplomat solved the international problem by negotiating./r/n     外交官通过谈判解决了那个国际问题。/r/n\n The diplomat is over weight./r/n     那个外交官很胖。/r/n
2122	dipping	(可)调,浸渍(法)	
2123	direct	a. 笔直的,直接的,坦白的<br>\nv. 指示,指挥,命令	 He directed the building of the new bridge./r/n     他主持修建这座桥的建筑工程。/r/n\n The general directed that the prisoners should be set free./r/n     将军下令释放犯人。/r/n
2124	direction	n. 方向,指导,用法说明	 Which direction does your room face?/r/n     你的房间面向哪个方向？/r/n\n The investigation was carried out under the direction of a senior police officer./r/n     调查是在一位高级警官的指导下进行的。/r/n
2125	directive	a. 指导的,指挥的,管理的<br>\nn. 指令<br>\n[计算机] 指令	
2126	directly	ad. 直接地(立即,完全)	 He answered me very directly and openly./r/n     他非常直接坦率地回答了我。/r/n\n They bought the machine directly from the manufacturer./r/n     他们直接从厂商那里购买了这台机器。/r/n
2127	director	n. 董事,经理,主管,指导者,导演	 The director told the actress to have a rest./r/n     导演叫这名女演员休息一下。/r/n\n Her career culminated in her appointment as director./r/n     她一生事业的顶峰是当上董事。/r/n
2128	dirt	n. 污垢,泥土	 Wash the dirt off your hands./r/n     把你手上的泥污洗掉。/r/n\n She cleaned the dirt from her finger-nails./r/n     她从指甲里剔掉污垢./r/n
2129	dirty	a. 肮脏的	 They sat drinking and telling dirty stories./r/n     他们坐在那里，边喝酒边讲下流故事。/r/n\n Repairing cars is a dirty work./r/n     修汽车是一个脏活。/r/n
2130	disability	n. 无力,无能,残疾	 A physical or mental disability./r/n     身心的缺陷体力或智力上的无能/r/n\n As a matter of fact, many people have a disability./r/n     事实上，许多人身体都有某种缺陷。/r/n
2131	disable	v. 使...失去能力	 He was disabled from walking by the accident./r/n     由于车祸，他不能走路了。/r/n\n Old age disabled him for hard labour./r/n     年迈使他不能干繁重的工作。/r/n
2132	disabled	a. 残废的<br>\nn. 残疾人	 This book sentimentalizes the suffering of the disabled./r/n     这本书以柔懦的笔调渲染了残疾人的痛苦。/r/n\n Her latest book discusses the problems of the disabled./r/n     她 的新书论述残疾人的问题./r/n
2133	disadvantage	n. 不利,不利条件,损害,损失	
2134	disadvantageous	a. 不利的	
2135	disagree	v. 不一致,不适宜	 I disagree with you on this point./r/n     我不同意你的意见。/r/n\n These two reports of the accident disagree with each other./r/n     这两篇关于事故的报道不太一致。/r/n
2136	disagreement	n. 不合,争论,不一致	 Divergence or disagreement, as between facts or claims; difference./r/n     矛盾，不相符不符合或不一致，如在事实和宣称之间；差异/r/n\n A disagreement or quarrel./r/n     争执不一致或争吵/r/n
2137	disallow	v. 不许,不准,驳回	 The judge disallowed that evidence./r/n     法官驳回那项证据。/r/n\n Her claim was disallowed on the ground(s) that she had not paid her premium./r/n     她要求赔款遭到拒绝, 原因是她事先没有交纳保险费./r/n
2138	disappear	v. 消失	 My wallet has disappeared from the table./r/n     我放在桌子上的钱包不见了。/r/n\n The sun disappeared behind a cloud./r/n     太阳消失在一片云后面。/r/n
2139	disappearance	n. 消失	
2140	disappointed	a. 失望的	
2141	disappointment	n. 失望	 He expressed keen disappointment that the hearing had been postponed./r/n     他对听证会延期表示大为沮丧。/r/n\n That defeat was a surprise and a disappointment./r/n     那次失败令人吃惊，令人失望。/r/n
2142	disapproval	n. 不赞成	 He shook his head in disapproval./r/n     他摇了摇头表示反对。/r/n\n She gestured her disapproval./r/n     她用姿势表示不赞成./r/n
2143	disapprove	v. 不赞成	 Father disapproved of our marriage./r/n     父亲不同意我们俩人的婚事。/r/n\n The plan was disapproved/r/n     计划没有被通过。/r/n
2144	disarray	v. 弄乱,使混乱,使脱去衣服<br>\nn. 无秩序,杂乱,不整齐的衣服	 Changing offices has left my papers in complete disarray./r/n     办公室搬迁, 使我的文件全部乱了套了./r/n\n The troops fled in disarray./r/n     部队仓皇逃散./r/n
2145	disassemble	v. 解开,分解<br>\n[计算机] 反汇编	 Disassemble a toaster./r/n     拆卸烤面包炉/r/n
2146	disaster	n. 灾难	 They had led the country into economic disaster./r/n     他们把国家带入了经济灾难中。/r/n\n The disaster caused him to waver in his faith./r/n     这件灾难使他对信仰发生了动摇。/r/n
2147	disastrous	a. 灾难性的	 The new system has had a disastrous effect on productivity./r/n     新制度已对生产力造成了灾难性的影响。/r/n\n This environmental effect of this new factory could be disastrous./r/n     这家新工厂给自然环境带来的影响可能是灾难性的。/r/n
2148	disburse	vt. 支付	
2149	disbursement	n. 支付,支出	
2150	discarded	放弃的,删除的	 History discarded him./r/n     他被历史所抛弃。/r/n\n He discarded his winter clothing./r/n     他把冬天穿的衣服都脱掉了。/r/n
2151	discern	v. 辨别,看清楚	 He was just able to discern the road from the dark./r/n     他在黑暗中只能勉强辨认出道路。/r/n\n I soon discerned that the man was lying./r/n     我马上察觉出那人在撒谎。/r/n
2152	discharge	v. 卸下,放出,解雇,放电,解除	 The judge discharged the prisoner./r/n     法官把囚犯释放了。/r/n\n How long will the discharge of the cargo take?/r/n     卸货需要多久？/r/n
2153	disciplinary	a. 训练的,规律的,训戒的	
2154	disclaim	v. 放弃,弃权,拒绝	
2155	disclose	v. 揭露	 I have no intention of disclosing their names./r/n     我无意泄露他们的姓名。/r/n\n The authorities finally disclosed the truth to the press./r/n     当局终于向新闻界透露了真相。/r/n
2156	disco	n. 迪斯科舞厅	 This disco is a magnet for young people./r/n     这家迪斯科舞厅经常吸引大批年轻的顾客./r/n\n We danced to the disco music./r/n     我们跟著迪斯科乐曲跳舞./r/n
2157	discolor	vt. 使...变色(或褪色)	 Discolored, as from a bruise; black-and-blue./r/n     青黑色的尤指由于瘀伤而变色的；青黑色的/r/n
2158	discomfort	n. 不便之处,不适	 She still suffers considerable discomfort from her injury./r/n     她因那次受伤至今仍感不适。/r/n\n I was unhappy because of the discomforts of travel./r/n     我因为旅行的不适而感到不快。/r/n
2159	disconnection	n. 断开	
2160	discotheque	n. 唱片舞会,迪斯科舞（厅）	 Mary wore handsome go-go boots to the discotheque last night./r/n     玛丽穿着一双入时的马靴参加昨晚的舞会。/r/n
2161	discount	n. 折扣,贴现率<br>\nv. 打折扣,贴现	 The discount was very huge./r/n     折扣的幅度非常大。/r/n\n We give 10 percent discount for cash./r/n     现金付款，我们九折优惠。/r/n
2162	discourage	v. 使气馁,阻碍	 I was never discouraged against learning English./r/n     我从未对学习英语失去信心。/r/n\n Inflation discourages saving./r/n     通货膨胀阻碍储蓄的积累。/r/n
2163	discourse	n. 演讲<br>\nvi. 讲述,著述	 The judges had solemn discourse together./r/n     法官们在一起严肃地交谈。/r/n\n They listened to his discourse on human relations./r/n     他们听他作关于人际关系的演讲。/r/n
2164	discover	v. 发现	 She discovered the joy of writing./r/n     她感到了写作的乐趣。/r/n\n Columbus is said to have discovered America in 1492./r/n     据说哥伦布于1492年发现了美洲。/r/n
2165	discovery	n. 发现,发现物	 A collector of rare insects will show us some of his latest discoveries./r/n     一位稀有昆虫采集家将给我们看一些他的最新发现。/r/n\n The new discovery caused a great sensation./r/n     这项新发现很轰动。/r/n
2166	discreetly	ad. 谨慎地, 小心地	
2167	discrepancy	n. 相差,差异,差别	
2168	discrete	a. 不连续的  离散的<br>\n[计算机] 分离  离散	
2169	discretion	n. 慎重,辨别力,考虑<br>\n[计算机] 判定	
2170	discriminant	判别式	
2171	discriminate	v. 区别,差别待遇	 People should not be discriminated against./r/n     人们不应该被区别对待。/r/n\n Can you discriminate good books from bad?/r/n     你能区别好书与坏书吗？/r/n
2172	discrimination	n. 歧视	 We are strongly opposed to racial discrimination./r/n     我们强烈反对种族歧视。/r/n\n We should not have racial discrimination./r/n     我们不该有种族歧视。/r/n
2173	discriminator	鉴别器	
2174	discuss	v. 讨论	 They said they had an important matter to discuss with you./r/n     他们说有要事与你相商。/r/n\n What does the book discuss?/r/n     这本书讲了什么？/r/n
2175	discussion	n. 讨论<br>\nv. 讨论,商议	 When will the matter come up for discussion?/r/n     这件事什么时候提出来讨论？/r/n\n Their case is now under discussion./r/n     他们的案件现在正在讨论中。/r/n
2176	disdain	n. 轻蔑<br>\nv. 蔑视	 He disdained that man for snobbishness and was unwilling to talk to him./r/n     他鄙视那个势利小人，不愿和他说话。/r/n\n I have nothing but disdain for such a person./r/n     对这样一个人，我只有鄙视。/r/n
2177	disease	n. 疾病	 Many diseases are caused by bacteria./r/n     许多疾病是由细菌引起的。/r/n\n The poor man has a serious disease of the liver./r/n     这个可怜的人患有严重的肝病。/r/n
2178	disgrace	n. 耻辱,不名誉<br>\nv. 耻辱,使...失体面	 He fell into disgrace with his companions./r/n     他的朋友都看不起他。/r/n\n He quit in disgrace over the bribe./r/n     他因受贿而不光彩地辞职了。/r/n
2179	disgraceful	a. 可耻的,不名誉的	 This newspaper article is a disgraceful intrusion into my private life./r/n     报纸上的这篇文章是对我私生活的侵扰，这种做法很不光彩。/r/n\n Please account for your disgraceful conduct./r/n     对你的可耻行为请作解释./r/n
2180	disguise	n. 假面目,假装<br>\nv. 假装	 His illness was a blessing in disguise, because he afterwards married his nurse./r/n     他生病倒是因祸得福，因为后来他和他的护士结了婚。/r/n\n It proved difficult to disguise his anxiety./r/n     他的焦虑难以掩饰。/r/n
2181	disgust	n. 厌恶,嫌恶<br>\nv. 令人厌恶	 He returned downstairs in disgust./r/n     他厌恶地转身下楼。/r/n\n His behavior filled her with disgust./r/n     她对他的行为充满了厌恶。/r/n
2182	disgustful	a. 令人生厌的	
2183	dish	n. 盘子<br>\nvt. 上菜<br>\nn.一样菜，一道菜	 His favorite dish is roast duck./r/n     他最喜欢吃的菜是烤鸭。/r/n\n The careless waiter dropped the dish onto the ground./r/n     那个粗心的侍者把盘子摔到了地上。/r/n
2184	dishonest	a. 不诚实的	 He is a dishonest merchant./r/n     他是一个不诚实的商人。/r/n\n Susceptibility to bribery or corruption, as in the use of a position of trust for dishonest gain./r/n     甘受贿赂，贪污腐化易受贿赂或腐败的影响性，如在使用不诚实的收益的信托状况时/r/n
2185	dishonor	n. 不名誉<br>\nv. 玷辱,使...蒙羞	 He was a dishonor to his regiment./r/n     他是那个团的耻辱。/r/n\n His behaviors have brought dishonor onto his family./r/n     他的行为给他的家庭带来了耻辱。/r/n
2186	dishonorable	a. 不名誉的	 He is ashamed for his former dishonorable action./r/n     他对他以前不光彩的行为感到羞愧。/r/n\n He has done many dishonorable things these years/r/n     这些年，他干了许多可耻的事情。/r/n
2187	disillusion	n. 觉醒,幻减<br>\nv. 醒悟,使幻想破减	
2188	disinclined	a. 不愿的, 不想的	 Overloading his stomach with a heavy meal, he was disinclined for any serious work./r/n     吃了不易消化的东西，他不愿去干那些难做的工作。/r/n\n Be disinclined to do sth./r/n     无意干某事，不愿干某事/r/n
2189	disinfect	v. 消毒	
2190	disinfectant	a. 消毒的<br>\nn. 消毒剂	 Disinfectant kills germs./r/n     消毒剂灭杀细菌。/r/n\n Dip your injured finger in the disinfectant to soak out the poison./r/n     把你受伤的手指浸在消毒剂里，把毒浸泡出来。/r/n
2191	disinflation	n. 反通货膨胀	
2192	disintegration	n. 瓦解	 The breakdown and disintegration of organic tissue./r/n     组织溶解器官组织的分解和破坏/r/n\n Decomposition into fragments or parts; disintegration./r/n     分裂，分解碎片或几部分；分解/r/n
2193	disjunction	析取,分离,分裂	
2194	diskette	软盘	
2195	dislikes	vt. 不喜欢	 He dislikes dogs./r/n     他不喜欢狗。/r/n\n He dislikes his wide nostrils./r/n     他不喜欢自己的宽大的鼻孔。/r/n
2196	dislocate	v. 脱臼,弄乱	 Flights have been dislocated by thefog./r/n     大雾将飞机的班次搅乱了./r/n
2197	disloyal	a. 不忠的	 He was disloyal to his country./r/n     他对祖国不忠。/r/n\n That person is disloyal to his associates./r/n     那人对同事不守信义。/r/n
2198	dismal	a. 阴沉的,凄凉的,暗的	 We were all depressed by the dismal weather./r/n     阴沉的天气让我们都感到压抑。/r/n\n Dismal weather; took a dismal view of the economy./r/n     阴沉的天气；对经济抱着不乐观的看法/r/n
2199	dismay	n. 沮丧<br>\nv. 使...灰心,使...害怕	 To my dismay, he made the same mistakes./r/n     使我惊讶的是，他又犯了同样的错误。/r/n\n It dismayed us that the project had been canceled./r/n     那个计划取消了，这让我们非常惊讶。/r/n
2200	dismiss	v. 解散,开除	 If you are late again, you will be dismissed./r/n     如果你再迟到，你将被解雇。/r/n\n He dismissed the unpleasant subject and talked about something else./r/n     他不谈论这个令人不愉快的话题，而去谈论别的事情。/r/n
2201	dismissal	n. 免职,解雇	 His rash dismissal of the offer annoyed me./r/n     他对该提议轻率的拒绝激怒了我。/r/n\n The dismissals led to a strike./r/n     雇主解雇工人导致了罢工事件。/r/n
2202	dismount	v. 使...下马,下马	 Two soldiers dismounted the gun from the base./r/n     两个战士把炮从底座上卸下来。/r/n\n One have to dismount from an idea and get into saddle again at every parenthesis./r/n     每当遇上一个括号，就叫人不得不从一种想法下马，然后再次骑上马鞍。/r/n
2203	disobey	v. 违反	 He disobeyed his mother and went to the party./r/n     他不听母亲的劝告，参加了那次聚会。/r/n\n Those who disobey must be punished by law./r/n     违法分子必须受到法律惩罚。/r/n
2204	disorder	n. 杂乱,混乱<br>\nv. 扰乱	 Anxiety may disorder the stomach./r/n     忧虑可能会引起胃部不适。/r/n\n The room is in dreadful disorder./r/n     房间里乱七八糟。/r/n
2205	disparity	n. 不一致	 Rich and poor live side by side but in conditions of extraordinary disparity./r/n     虽然富人和穷人住在一起，但是条件相差极为悬殊。/r/n
2206	dispatch	v. 派遣<br>\n[计算机] 分派	 We soon dispatched the chocolate cake./r/n     我们很快就吃完了巧克力蛋糕。/r/n\n A messenger was dispatched to take the news to the soldiers at the front./r/n     一名通讯员被派去给前线士兵送消息。/r/n
2207	dispatcher	调度器,调度程序,分配器	
2208	dispel	v. 驱散,驱逐	 The company is trying to dispel rumour about a take-over./r/n     公司力图澄清有关接管的流言。/r/n\n How can we dispel their doubt?/r/n     我们怎么才能驱散他们的疑虑呢？/r/n
2209	dispense	v. 分发	 The doctor dispensed a prescription to his patient./r/n     医生开处方给病人配药。/r/n\n She cannot dispense with a servant./r/n     她不能没有佣人。/r/n
2210	disperse	v. 分散,传播,散开	 The police dispersed the crowd./r/n     警方驱散群众。/r/n\n The wind dispersed the cloud from the sky./r/n     风吹散了天上的云。/r/n
2211	displace	v. 移置,替换	 The indigenous population was soon displaced by the settlers./r/n     没过多久，外来移民就把当地人赶出了家园。/r/n\n Weeds tend to displace other plants./r/n     杂草越来越多，有取代其他植物之势。/r/n
2212	displacement	n. 换置,转位,移动<br>\n[计算机] 位移	
2213	display	n. 显示,陈列,炫耀<br>\nv. 显示,表现,夸示	 The bestsellers were sold out before they were displayed./r/n     这些畅销书尚未陈列就卖光了。/r/n\n His paintings are on display at the exhibition./r/n     他的绘画正在展览会上展出。/r/n
2214	displease	v. 使...不快	
2215	displeasure	n. 不愉快(不高兴,生气)	 I incurred her displeasure by refusing the invitation./r/n     我因拒绝邀请而惹怒了她。/r/n\n His displeasure were off./r/n     他的不愉快心情逐渐消失了。/r/n
2216	disposal	n. 处理,消除,销毁,处置<br>\nn. 弃菜碾碎器	 He has a large number of reference books at his disposal./r/n     他有大量的参考书可供使用。/r/n\n We placed everything at his disposal./r/n     我们把一切事情都交给他处理。/r/n
2217	disposed	a. 有某种健康状态的, 有...倾向的	 The chance of promotion disposed him to accept the offer./r/n     有晋升的机会使他有意接受该提议。/r/n\n I disposed of my old magazines./r/n     我把旧杂志卖了。/r/n
2218	disposition	n. 性情,处置<br>\n[计算机] 配置情况	 They showed a disposition to sign the contract./r/n     他们表示有签订合同的意愿。/r/n\n The choice is no longer in their disposition./r/n     选择权已不在他们手中了。/r/n
2219	dispute	n. 争论<br>\nv. 争论	 They are disputing about the rights and wrongs of the case./r/n     他们正在激烈争论这个事件的是非曲直。/r/n\n His honesty is beyond dispute./r/n     他的诚实是无可争议的。/r/n
2220	disrupt	a. 分裂的,分散的<br>\nv. 使...分裂,使...瓦解	 His speech disrupted the meeting./r/n     他的讲演使会场陷入混乱。/r/n\n An accident has disrupted railway services into and out of the city./r/n     一次交通事故使进出这座城市的铁路交通陷于混乱。/r/n
2221	disruptive	a. 捣乱的,破坏性的,制造混乱的	
2222	dissatisfaction	n. 不满	 Private members voice public dissatisfaction at have to pay higher taxes./r/n     下议院议员道出了公众对增加税收的不满。/r/n\n The condition or fact of being displeased; dissatisfaction./r/n     不愉快，不满意不高兴的情况或事实；不满/r/n
2223	dissector	析象管	
2224	disseminate	v. 散播,传播,宣传	 They use the press to disseminate right-wing views./r/n     他们利用报刊来传播右翼观点./r/n
2225	dissemination	传播,宣传,传染(病毒)	
2226	dissimilar	a. 不同的	
2227	dissipate	vt. 使...消散(浪费)	 He soon dissipated his fortune./r/n     他很快就把财产浪费光了。/r/n\n The sun dissipated the mist./r/n     太阳驱散了雾。/r/n
2228	dissipation	损耗	
2229	dissolution	n. 分解	 He obtained the dissolution of his marriage with her./r/n     他解除了和她的婚姻。/r/n\n The President announced the dissolution of Parliament./r/n     总统宣布了议会解散。/r/n
2230	dissolve	v. 溶解,解散	 The parliament was dissolved./r/n     议会解散了。/r/n\n Ice dissolved in the warm weather./r/n     冰在温暖的天气中溶化了。/r/n
2231	distance	n. 距离	 My house is four miles distance from the sea./r/n     我家离海四英里。/r/n\n We can see the mountain from the distance./r/n     我们从远处就可以看到那座山。/r/n
2232	distant	a. 遥远的,远的	 He is a distant cousin of mine./r/n     他是我的一位远房表亲。/r/n\n My company is five miles distant from my home./r/n     公司距离我家五英里远。/r/n
2233	distend	v. 扩大,扩张,吹大	 Having eyes with greatly distended pupils./r/n     眼珠暴突的具有带有膨大的瞳孔的眼睛的/r/n\n Swollen or distended beyond normal size by fluid or gaseous material./r/n     肿胀的液体或气体材料超过正常尺寸的肿胀或膨胀/r/n
